"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"4659","0.128125","0.078125","0.203125","0.203125","0.046875","0.484375"
"4666","0.1625","0.078125","0.28125","0.359375","0.09375","0.765625"
"4672","0.30625","0.109375","0.65625","0.246875","0.125","0.4375"
"4735","0.175","0.171875","0.1875","0.246875","0.09375","0.46875"
"4774","0.25625","0.15625","0.4375","0.334375","0.125","0.578125"
"4799","0.2125","0.078125","0.453125","0.265625","0.125","0.515625"
"4890","0.20625","0.125","0.375","0.471875","0.28125","0.75"
"4935","0.275","0.078125","0.4375","0.39375","0.171875","0.78125"
"4979","0.234375","0.0625","0.5625","0.3375","0.140625","0.578125"
"5004","0.25","0.109375","0.34375","0.390625","0.0625","0.8125"
"5019","0.4125","0.296875","0.625","0.340625","0.171875","0.546875"
"5035","0.153125","0.125","0.203125","0.3375","0.1875","0.546875"
"5038","0.26875","0.109375","0.625","0.284375","0.125","0.4375"
"5041","0.121875","0.0625","0.21875","0.365625","0.125","0.890625"
"5056","0.25","0.03125","0.671875","0.459375","0.1875","0.734375"
"5065","0.1625","0.109375","0.265625","0.3375","0.140625","0.734375"
"5076","0.203125","0.09375","0.265625","0.328125","0.09375","0.640625"
"5140","0.1625","0.09375","0.28125","0.296875","0.171875","0.53125"
"5164","0.178125","0.03125","0.359375","0.3","0.109375","0.640625"
"5168","0.371875","0.09375","0.71875","0.2","0.125","0.359375"
"5218","0.15","0.078125","0.296875","0.3125","0.09375","0.59375"
"5240","0.16875","0.125","0.21875","0.321875","0.15625","0.78125"
"5248","0.265625","0.078125","0.484375","0.215625","0.140625","0.296875"
"5266","0.175","0.109375","0.28125","0.278125","0.09375","0.5"
"5294","0.221875","0.09375","0.53125","0.284375","0.109375","0.484375"
"5313","0.221875","0.171875","0.328125","0.221875","0.0625","0.5625"
"5327","0.253125","0.15625","0.34375","0.3","0.171875","0.546875"
"5336","0.25","0.078125","0.5","0.234375","0.109375","0.453125"
"5346","0.13125","0.078125","0.203125","0.28125","0.09375","0.734375"
"5348","0.25","0.125","0.453125","0.253125","0.140625","0.578125"
"5360","0.165625","0.0625","0.28125","0.2125","0.15625","0.28125"
"5369","0.3875","0.203125","0.625","0.209375","0.109375","0.375"
"5388","0.334375","0.09375","0.640625","0.203125","0.140625","0.265625"
"5390","0.240625","0.078125","0.734375","0.303125","0.109375","0.828125"
"5396","0.35","0.0625","0.65625","0.346875","0.171875","0.578125"
"5419","0.11875","0.0625","0.296875","0.325","0.1875","0.65625"
"5438","0.11875","0.0625","0.171875","0.4375","0.140625","0.671875"
"5473","0.159375","0.09375","0.234375","0.403125","0.046875","0.84375"
"5483","0.184375","0.125","0.265625","0.35625","0.1875","0.546875"
"5520","0.190625","0.125","0.296875","0.1625","0.140625","0.203125"
"5544","0.28125","0.15625","0.5","0.2875","0.15625","0.4375"
"5570","0.4125","0.09375","0.734375","0.434375","0.25","0.78125"
"5581","0.415625","0.109375","0.765625","0.278125","0.203125","0.421875"
"5593","0.203125","0.09375","0.328125","0.36875","0.203125","0.71875"
"5596","0.3125","0.171875","0.5","0.19375","0.046875","0.296875"
"5604","0.19375","0.125","0.328125","0.5375","0.171875","0.875"
"5644","0.215625","0.171875","0.34375","0.415625","0.125","0.875"
"5653","0.23125","0.171875","0.28125","0.578125","0.125","0.796875"
"5661","0.165625","0.09375","0.359375","0.278125","0.09375","0.5"
"5714","0.39375","0.125","0.765625","0.453125","0.140625","0.765625"
"5741","0.265625","0.15625","0.53125","0.278125","0.203125","0.4375"
"5755","0.265625","0.125","0.53125","0.521875","0.171875","0.890625"
"5769","0.459375","0.09375","0.8125","0.409375","0.109375","0.578125"
"5773","0.2375","0.078125","0.453125","0.309375","0.140625","0.71875"
"5778","0.190625","0.09375","0.328125","0.375","0.125","0.734375"
"5817","0.353125","0.140625","0.46875","0.31875","0.125","0.546875"
"5824","0.225","0.09375","0.53125","0.284375","0.125","0.59375"
"5847","0.15","0.125","0.21875","0.2125","0.078125","0.578125"
"5904","0.240625","0.171875","0.3125","0.25","0.125","0.46875"
"5909","0.234375","0.171875","0.390625","0.196875","0.078125","0.28125"
"5937","0.303125","0.09375","0.578125","0.296875","0.140625","0.546875"
"5947","0.1875","0.078125","0.421875","0.309375","0.109375","0.65625"
"5956","0.25","0.21875","0.296875","0.315625","0.140625","0.78125"
"5972","0.234375","0.125","0.359375","0.225","0.078125","0.578125"
"6007","0.359375","0.09375","0.6875","0.209375","0.109375","0.28125"
"6023","0.128125","0.078125","0.15625","0.31875","0.15625","0.578125"
