"Step","postactivation_production: mlp - Train/Losses","postactivation_production: mlp - Train/Losses__MIN","postactivation_production: mlp - Train/Losses__MAX","postactivation_production: kan - Train/Losses","postactivation_production: kan - Train/Losses__MIN","postactivation_production: kan - Train/Losses__MAX"
"2752","1.0041270136833191","0.9461984038352966","1.0440328121185303","1.7851823419332504","1.7292988300323486","1.8390355110168457"
"2815","2.2834885438283283","2.2673277854919434","2.305084705352783","2.311415582895279","2.2989988327026367","2.324949026107788"
"2821","2.189810021718343","2.104797840118408","2.2746729850769043","2.2725635170936584","2.2652273178100586","2.2872180938720703"
"2833","2.3113027731577556","2.2917513847351074","2.3422765731811523","2.3247973024845123","2.316497325897217","2.3299050331115723"
"2836","2.3427745978037517","2.3219518661499023","2.3662469387054443","2.2983668446540833","2.2961654663085938","2.3025379180908203"
"2863","2.300693702697754","2.282501697540283","2.3256497383117676","2.329357773065567","2.32257342338562","2.339833974838257"
"2874","2.063684431711833","2.0426182746887207","2.1021196842193604","2.328750044107437","2.3138492107391357","2.3415017127990723"
"2902","2.2646103858947755","2.2517495155334473","2.2762107849121094","2.2880572080612183","2.2702858448028564","2.297064781188965"
"2911","1.8673405647277832","1.8095978498458862","1.9548314809799194","2.1817992627620697","2.1576414108276367","2.2050204277038574"
"2958","1.7693080345789591","1.7397303581237793","1.7955853939056396","2.1496366262435913","2.0882699489593506","2.209350347518921"
"2975","2.149379094441732","2.0995571613311768","2.174643039703369","2.3194715082645416","2.2955925464630127","2.3394699096679688"
"2977","0.6416501959164937","0.5408309698104858","1.2426929473876953","0.8934196531772614","0.7798680067062378","1.0235875844955444"
"2992","1.7071915864944458","1.6052712202072144","1.7903625965118408","2.175421118736267","2.0523507595062256","2.2873589992523193"
"3003","2.1752737045288084","2.135680913925171","2.219292640686035","2.252693384885788","2.227591037750244","2.2724523544311523"
"3029","1.8887752771377564","1.8740806579589844","1.9158270359039307","2.134930431842804","2.106173038482666","2.150552749633789"
"3068","2.038939126332601","2.008415460586548","2.076345443725586","2.2660410702228546","2.2480530738830566","2.2772648334503174"
"3073","2.205820004145304","2.148920774459839","2.2542471885681152","2.2642704248428345","2.257284641265869","2.2742490768432617"
"3091","2.0154851277669272","1.9962773323059082","2.0552425384521484","2.210170090198517","2.161539316177368","2.259200096130371"
"3096","2.242138083775838","2.187892198562622","2.288656711578369","2.2948139011859894","2.2864980697631836","2.3027405738830566"
"3117","0.9144909262657166","0.8657785058021545","0.9848682880401611","1.8591168224811554","1.8154644966125488","1.8994120359420776"
"3121","1.853346037864685","1.7339773178100586","1.9263250827789307","2.299503833055496","2.1264841556549072","2.402679443359375"
"3124","2.3254280567169188","2.297668218612671","2.344055652618408","2.3108507692813873","2.299867868423462","2.329746723175049"
"3163","1.7550182660420737","1.706364631652832","1.8031132221221924","2.3748624324798584","2.3030402660369873","2.4412550926208496"
"3167","2.3426671187082926","2.2918612957000732","2.468156099319458","2.2759684920310974","2.2630391120910645","2.2833430767059326"
"3214","2.164823373158773","2.0908517837524414","2.2095134258270264","2.300667852163315","2.2627532482147217","2.327329158782959"
"3215","2.272117916742961","2.254209041595459","2.301346778869629","2.2942917943000793","2.2875375747680664","2.302034378051758"
"3273","2.2578311284383137","2.2168469429016113","2.2757179737091064","2.2853367924690247","2.266731023788452","2.2953450679779053"
"3274","0.6389102657636007","0.5900934934616089","0.6790553331375122","0.847803883254528","0.7180537581443787","0.9421601295471191"
"3306","1.5279593388239543","1.3676316738128662","1.757495641708374","2.089592933654785","2.0035147666931152","2.2053542137145996"
"3316","1.8748719612757365","1.8288097381591797","1.9128892421722412","2.225699722766876","2.190751552581787","2.254380464553833"
"3335","2.0760850429534914","2.0303592681884766","2.1527011394500732","2.2241673171520233","2.2151694297790527","2.235590934753418"
"3341","1.469202415148417","1.3455898761749268","1.5563137531280518","1.9023617208003998","1.8009880781173706","1.9629110097885132"
"3356","2.2538261731465656","2.21295428276062","2.2799510955810547","2.3186263144016266","2.2479500770568848","2.356083393096924"
"3372","2.3444995085398355","2.309414863586426","2.364387035369873","2.3173991441726685","2.309723138809204","2.3345487117767334"
"3417","2.2345768451690673","2.1900691986083984","2.2557833194732666","2.27077254652977","2.2499256134033203","2.2843964099884033"
"3444","2.2271917343139647","2.178715467453003","2.271806240081787","2.2629885971546173","2.2521941661834717","2.2715563774108887"
"3494","2.281416336695353","2.2568812370300293","2.3016164302825928","2.2970677614212036","2.2854762077331543","2.324042797088623"
"3506","1.5078616937001545","1.3796322345733643","1.604649305343628","2.16459122300148","1.9190152883529663","2.3566513061523438"
"3528","0.7990756432215372","0.7387057542800903","0.9419456720352173","1.499451994895935","1.3784489631652832","1.6222567558288574"
"3557","1.785746415456136","1.7382638454437256","1.8636631965637207","2.0090599805116653","1.899012565612793","2.1000218391418457"
"3563","2.2435829321543377","2.204380512237549","2.2745485305786133","2.326132118701935","2.2819628715515137","2.367952823638916"
"3595","2.285917107264201","2.257631301879883","2.3067798614501953","2.2845117449760437","2.2625808715820312","2.3064045906066895"
"3599","2.151085138320923","2.0892627239227295","2.181562662124634","2.308568626642227","2.2815675735473633","2.3260905742645264"
"3602","1.7573147376378377","1.5709052085876465","1.868048906326294","2.2102519124746323","1.915434718132019","2.4354591369628906"
"3608","1.598569099108378","1.4584786891937256","1.72808837890625","2.0334401577711105","1.919468641281128","2.1415932178497314"
"3610","1.969554336865743","1.9347972869873047","1.9879587888717651","2.2666710019111633","2.178485155105591","2.3355634212493896"
"3656","1.6454778909683228","1.5983022451400757","1.6843398809432983","2.15981262922287","2.0662636756896973","2.2356696128845215"
"3673","2.2488955815633136","2.1972150802612305","2.297560691833496","2.2864854633808136","2.264012336730957","2.3077731132507324"
"3740","1.8942443450291953","1.7757726907730103","1.9523142576217651","2.1584940552711487","2.0915732383728027","2.227419137954712"
"3749","0.9907241503397624","0.9352360367774963","1.0532374382019043","1.6803161650896072","1.4147146940231323","1.9347293376922607"
"3758","1.9493810415267945","1.853440523147583","2.0255753993988037","2.2368692755699158","2.0756044387817383","2.390897750854492"
"3794","1.7907232840855916","1.7328652143478394","1.8406120538711548","2.125958740711212","2.036592483520508","2.198385715484619"
"3803","2.040582784016927","1.9404947757720947","2.0860114097595215","2.1966185569763184","2.156459093093872","2.2387351989746094"
"3818","2.2737622896830243","2.241060733795166","2.2992892265319824","2.3303299844264984","2.3058245182037354","2.3628432750701904"
"3836","2.3036047140757243","2.2462167739868164","2.3609719276428223","2.3057010769844055","2.2897400856018066","2.326240301132202"
"3857","0.509371683994929","0.4500364065170288","0.5599818825721741","0.7114946618676186","0.6070646643638611","0.8266119956970215"
"3871","1.9437719265619913","1.9224557876586914","1.9673887491226196","2.205651134252548","2.167996883392334","2.2281839847564697"
"3878","2.2723208904266357","2.243708610534668","2.2880091667175293","2.293624609708786","2.2628867626190186","2.311417579650879"
"3887","1.8000336011250815","1.7356454133987427","1.932485818862915","2.121999502182007","2.0816173553466797","2.1647164821624756"
"3892","2.0066162824630736","1.9874939918518066","2.0319712162017822","2.2292228639125824","2.1374826431274414","2.2667500972747803"
"3910","2.0296554724375406","2.0082759857177734","2.0538201332092285","2.2416837215423584","2.213569402694702","2.257035255432129"
