"Step","postactivation_production: mlp - Train/Accuracy","postactivation_production: mlp - Train/Accuracy__MIN","postactivation_production: mlp - Train/Accuracy__MAX","postactivation_production: kan - Train/Accuracy","postactivation_production: kan - Train/Accuracy__MIN","postactivation_production: kan - Train/Accuracy__MAX"
"3494","0.12395833333333334","0.0625","0.1875","0.1328125","0.0625","0.1875"
"3506","0.35625","0.234375","0.5","0.15625","0.109375","0.25"
"3528","0.6333333333333333","0.546875","0.703125","0.55859375","0.515625","0.609375"
"3557","0.28229166666666666","0.234375","0.390625","0.271484375","0.234375","0.296875"
"3563","0.134375","0.078125","0.21875","0.068359375","0.046875","0.109375"
"3595","0.09166666666666666","0.03125","0.140625","0.099609375","0.03125","0.171875"
"3599","0.171875","0.125","0.21875","0.173828125","0.125","0.234375"
"3602","0.3","0.21875","0.375","0.150390625","0.03125","0.3125"
"3608","0.3770833333333333","0.3125","0.421875","0.22265625","0.15625","0.3125"
"3610","0.25833333333333336","0.21875","0.296875","0.16796875","0.140625","0.203125"
"3656","0.33125","0.28125","0.40625","0.2578125","0.21875","0.296875"
"3673","0.15625","0.09375","0.203125","0.125","0.0625","0.171875"
"3740","0.21041666666666667","0.15625","0.28125","0.2109375","0.1875","0.234375"
"3749","0.54375","0.484375","0.609375","0.439453125","0.375","0.5"
"3758","0.271875","0.203125","0.375","0.1484375","0.09375","0.234375"
"3794","0.24791666666666667","0.1875","0.328125","0.25390625","0.1875","0.3125"
"3803","0.17708333333333334","0.140625","0.21875","0.125","0.09375","0.171875"
"3818","0.09270833333333334","0.0625","0.125","0.087890625","0.0625","0.109375"
"3836","0.140625","0.0625","0.1875","0.076171875","0.046875","0.09375"
"3857","0.7708333333333334","0.75","0.8125","0.720703125","0.703125","0.75"
"3871","0.17395833333333333","0.140625","0.21875","0.169921875","0.140625","0.1875"
"3878","0.15416666666666667","0.109375","0.25","0.103515625","0.03125","0.21875"
"3887","0.2833333333333333","0.234375","0.328125","0.27734375","0.25","0.296875"
"3892","0.221875","0.203125","0.265625","0.16015625","0.125","0.21875"
"3910","0.20625","0.171875","0.234375","0.162109375","0.140625","0.203125"
"3921","0.45416666666666666","0.359375","0.53125","0.224609375","0.125","0.375"
"3974","0.29375","0.21875","0.328125","0.267578125","0.234375","0.3125"
"3993","0.278125","0.234375","0.3125","0.259765625","0.234375","0.28125"
"4009","0.13020833333333334","0.046875","0.1875","0.17578125","0.140625","0.21875"
"4012","0.190625","0.140625","0.265625","0.19921875","0.15625","0.265625"
"4016","0.19166666666666668","0.15625","0.265625","0.171875","0.140625","0.203125"
"4032","0.11875","0.078125","0.15625","0.099609375","0.0625","0.140625"
"4054","0.103125","0.0625","0.15625","0.08203125","0.0625","0.125"
"4101","0.46979166666666666","0.40625","0.546875","0.453125","0.40625","0.484375"
"4114","0.1125","0.0625","0.171875","0.091796875","0.0625","0.125"
"4131","0.25833333333333336","0.203125","0.296875","0.234375","0.171875","0.28125"
"4148","0.7989583333333333","0.703125","0.875","0.755859375","0.703125","0.796875"
"4162","0.24479166666666666","0.1875","0.296875","0.1953125","0.15625","0.234375"
"4163","0.41875","0.296875","0.53125","0.283203125","0.21875","0.34375"
"4175","0.15520833333333334","0.109375","0.1875","0.09375","0.046875","0.140625"
"4184","0.346875","0.3125","0.421875","0.3359375","0.3125","0.359375"
"4213","0.478125","0.421875","0.5625","0.310546875","0.203125","0.421875"
"4281","0.09583333333333334","0.046875","0.140625","0.115234375","0.078125","0.15625"
"4321","0.12604166666666666","0.046875","0.1875","0.123046875","0.078125","0.1875"
"4337","0.22291666666666668","0.171875","0.296875","0.173828125","0.125","0.203125"
"4349","0.22291666666666668","0.140625","0.296875","0.169921875","0.09375","0.234375"
"4369","0.15","0.03125","0.234375","0.09765625","0.03125","0.171875"
"4402","0.165625","0.078125","0.234375","0.125","0.0625","0.203125"
"4420","0.28125","0.1875","0.328125","0.158203125","0.0625","0.265625"
"4424","0.2864583333333333","0.234375","0.34375","0.291015625","0.25","0.3125"
"4425","0.365625","0.3125","0.421875","0.357421875","0.3125","0.40625"
"4447","0.2604166666666667","0.21875","0.328125","0.1953125","0.15625","0.234375"
"4453","0.13854166666666667","0.09375","0.203125","0.103515625","0.046875","0.171875"
"4481","0.16770833333333332","0.109375","0.234375","0.12109375","0.09375","0.140625"
"4487","0.26979166666666665","0.234375","0.3125","0.275390625","0.21875","0.328125"
"4489","0.23125","0.171875","0.34375","0.138671875","0.078125","0.1875"
"4505","0.21354166666666666","0.171875","0.25","0.146484375","0.09375","0.21875"
"4526","0.24895833333333334","0.171875","0.34375","0.158203125","0.0625","0.28125"
"4527","0.08958333333333333","0.0625","0.140625","0.072265625","0.03125","0.109375"
"4579","0.353125","0.234375","0.453125","0.201171875","0.078125","0.25"
"4609","0.4864583333333333","0.375","0.578125","0.31640625","0.171875","0.484375"
"4631","0.34479166666666666","0.28125","0.390625","0.28125","0.21875","0.359375"
"4648","0.45208333333333334","0.40625","0.5","0.24609375","0.171875","0.328125"
"4650","0.509375","0.421875","0.640625","0.267578125","0.078125","0.453125"
"4651","0.15520833333333334","0.09375","0.203125","0.138671875","0.09375","0.203125"
"4659","0.17083333333333334","0.109375","0.203125","0.115234375","0.0625","0.1875"
"4666","0.16875","0.140625","0.203125","0.150390625","0.125","0.203125"
"4672","0.20104166666666667","0.125","0.25","0.126953125","0.09375","0.171875"
"4735","0.22395833333333334","0.1875","0.265625","0.19921875","0.171875","0.234375"
"4774","0.18020833333333333","0.109375","0.234375","0.1328125","0.078125","0.171875"
"4799","0.490625","0.375","0.59375","0.33203125","0.234375","0.421875"
"4890","0.23958333333333334","0.203125","0.296875","0.2109375","0.140625","0.28125"
"4935","0.11666666666666667","0.046875","0.21875","0.126953125","0.0625","0.203125"
"4979","0.13645833333333332","0.0625","0.203125","0.15234375","0.140625","0.171875"
"5004","0.25625","0.15625","0.34375","0.171875","0.125","0.234375"
"5019","0.5270833333333333","0.421875","0.609375","0.365234375","0.3125","0.421875"
"5035","0.159375","0.140625","0.203125","0.140625","0.109375","0.1875"
"5038","0.296875","0.25","0.359375","0.275390625","0.25","0.296875"
"5041","0.525","0.390625","0.625","0.3984375","0.25","0.5"
"5056","0.10625","0.046875","0.171875","0.068359375","0.046875","0.109375"
"5065","0.18645833333333334","0.109375","0.25","0.26953125","0.234375","0.3125"
"5076","0.14479166666666668","0.09375","0.203125","0.134765625","0.09375","0.171875"
"5140","0.11041666666666666","0.078125","0.15625","0.12109375","0.078125","0.171875"
"5164","0.259375","0.21875","0.3125","0.23046875","0.1875","0.28125"
"5168","0.30416666666666664","0.203125","0.375","0.234375","0.1875","0.28125"
"5218","0.18854166666666666","0.125","0.265625","0.140625","0.078125","0.21875"
"5240","0.21041666666666667","0.171875","0.265625","0.15234375","0.125","0.203125"
"5248","0.27291666666666664","0.234375","0.3125","0.228515625","0.203125","0.28125"
"5266","0.32395833333333335","0.265625","0.375","0.27734375","0.234375","0.328125"
"5294","0.4270833333333333","0.34375","0.5","0.33203125","0.0625","0.4375"
"5313","0.31666666666666665","0.25","0.390625","0.234375","0.171875","0.3125"
"5327","0.12604166666666666","0.078125","0.1875","0.115234375","0.0625","0.15625"
"5336","0.3145833333333333","0.25","0.359375","0.279296875","0.25","0.3125"
"5346","0.14895833333333333","0.0625","0.265625","0.11328125","0.078125","0.15625"
"5348","0.16458333333333333","0.109375","0.21875","0.142578125","0.109375","0.1875"
"5360","0.10520833333333333","0.0625","0.140625","0.099609375","0.03125","0.1875"
"5369","0.303125","0.234375","0.390625","0.22265625","0.1875","0.28125"
"5388","0.11458333333333333","0.0625","0.203125","0.119140625","0.0625","0.15625"
"5390","0.8","0.75","0.84375","0.712890625","0.671875","0.765625"
"5396","0.615625","0.578125","0.671875","0.546875","0.5","0.609375"
"5419","0.10625","0.03125","0.171875","0.091796875","0.0625","0.140625"
"5438","0.18958333333333333","0.125","0.25","0.15625","0.09375","0.234375"
"5473","0.1125","0.0625","0.171875","0.091796875","0.0625","0.109375"
"5483","0.24375","0.171875","0.34375","0.208984375","0.171875","0.265625"
"5520","0.20833333333333334","0.171875","0.234375","0.20703125","0.171875","0.234375"
"5544","0.6208333333333333","0.5625","0.734375","0.45703125","0.1875","0.546875"
"5570","0.2760416666666667","0.1875","0.34375","0.21875","0.140625","0.3125"
"5581","0.2","0.109375","0.265625","0.1484375","0.09375","0.203125"
"5593","0.55","0.4375","0.59375","0.416015625","0.328125","0.53125"
"5596","0.7447916666666666","0.671875","0.8125","0.53515625","0.5","0.59375"
"5604","0.21458333333333332","0.171875","0.265625","0.169921875","0.125","0.203125"
"5644","0.13958333333333334","0.109375","0.1875","0.134765625","0.109375","0.15625"
"5653","0.26145833333333335","0.234375","0.3125","0.21875","0.203125","0.234375"
"5661","0.33958333333333335","0.296875","0.40625","0.3359375","0.28125","0.390625"
"5714","0.22395833333333334","0.171875","0.28125","0.1640625","0.125","0.203125"
"5741","0.7489583333333333","0.71875","0.828125","0.638671875","0.546875","0.734375"
"5755","0.7125","0.671875","0.796875","0.59765625","0.484375","0.65625"
"5769","0.8989583333333333","0.875","0.921875","0.84375","0.765625","0.875"
"5773","0.725","0.65625","0.78125","0.541015625","0.421875","0.609375"
"5778","0.3","0.265625","0.34375","0.275390625","0.234375","0.3125"
"5817","0.4510416666666667","0.390625","0.5","0.4140625","0.375","0.453125"
"5824","0.2833333333333333","0.21875","0.3125","0.25390625","0.203125","0.3125"
"5847","0.2916666666666667","0.25","0.34375","0.259765625","0.234375","0.28125"
"5904","0.15729166666666666","0.109375","0.21875","0.150390625","0.109375","0.171875"
"5909","0.29270833333333335","0.265625","0.34375","0.28125","0.265625","0.3125"
"5937","0.13541666666666666","0.078125","0.203125","0.107421875","0.078125","0.15625"
"5947","0.20104166666666667","0.140625","0.265625","0.21875","0.1875","0.265625"
"5956","0.6489583333333333","0.5625","0.75","0.4296875","0.296875","0.515625"
"5972","0.6208333333333333","0.5625","0.640625","0.482421875","0.390625","0.609375"
"6007","0.084375","0.046875","0.15625","0.115234375","0.0625","0.171875"
"6023","0.134375","0.09375","0.1875","0.1171875","0.0625","0.1875"
"6026","0.7677083333333333","0.71875","0.84375","0.671875","0.546875","0.75"
"6076","0.3229166666666667","0.265625","0.40625","0.267578125","0.203125","0.34375"
"6087","0.22708333333333333","0.1875","0.3125","0.169921875","0.140625","0.203125"
"6089","0.740625","0.625","0.84375","0.642578125","0.609375","0.703125"
