"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"514","0.484375","0.484375","0.484375","0.1015625","0.078125","0.109375"
"516","","","","0.28125","0.25","0.3125"
"518","0.125","0.125","0.125","0.12109375","0.046875","0.3125"
"519","","","","0.28125","0.28125","0.28125"
"523","","","","0.25","0.25","0.25"
"525","","","","0.4453125","0.4375","0.453125"
"526","","","","0.09375","0.078125","0.109375"
"528","","","","0.5625","0.5625","0.5625"
"529","","","","0.0625","0.0625","0.0625"
"530","","","","0.171875","0.171875","0.171875"
"531","","","","0.578125","0.578125","0.578125"
"532","","","","0.15625","0.15625","0.15625"
"533","0.125","0.125","0.125","0.08203125","0.0625","0.109375"
"535","","","","0.125","0.125","0.125"
"536","","","","0.125","0.125","0.125"
"537","","","","0.1875","0.1875","0.1875"
"541","","","","0.078125","0.078125","0.078125"
"542","","","","0.125","0.125","0.125"
"544","","","","0.640625","0.640625","0.640625"
"548","0.0625","0.0625","0.0625","0.12890625","0.109375","0.140625"
"549","","","","0.11328125","0.078125","0.15625"
"550","","","","0.328125","0.328125","0.328125"
"551","","","","0.125","0.125","0.125"
"553","","","","0.296875","0.296875","0.296875"
"554","","","","0.09375","0.09375","0.09375"
"559","","","","0.140625","0.140625","0.140625"
"562","","","","0.140625","0.140625","0.140625"
"563","","","","0.234375","0.234375","0.234375"
"564","","","","0.078125","0.078125","0.078125"
"566","","","","0.09375","0.09375","0.09375"
"567","0.109375","0.109375","0.109375","0.10546875","0.078125","0.140625"
"569","","","","0.515625","0.515625","0.515625"
"573","","","","0.296875","0.296875","0.296875"
"574","0.640625","0.640625","0.640625","0.1640625","0.125","0.1875"
"575","","","","0.453125","0.453125","0.453125"
"576","","","","0.25","0.25","0.25"
"577","0.515625","0.515625","0.515625","0.08984375","0.046875","0.140625"
"580","","","","0.09375","0.09375","0.09375"
"581","","","","0.15625","0.15625","0.15625"
"582","","","","0.125","0.078125","0.171875"
"583","","","","0.5","0.5","0.5"
"584","0.0625","0.0625","0.0625","0.3046875","0.171875","0.359375"
"585","0.296875","0.296875","0.296875","0.2265625","0.109375","0.296875"
"586","","","","0.078125","0.078125","0.078125"
"588","0.40625","0.40625","0.40625","0.109375","0.09375","0.125"
"589","","","","0.21875","0.21875","0.21875"
"590","","","","0.15625","0.125","0.1875"
"591","","","","0.09375","0.09375","0.09375"
"592","","","","0.15625","0.15625","0.15625"
"594","","","","0.15234375","0.140625","0.171875"
"595","","","","0.078125","0.078125","0.078125"
"596","","","","0.1640625","0.140625","0.1875"
"597","","","","0.1875","0.1875","0.1875"
"598","","","","0.328125","0.328125","0.328125"
"601","","","","0.171875","0.171875","0.171875"
"602","","","","0.171875","0.171875","0.171875"
"603","","","","0.125","0.125","0.125"
"605","","","","0.125","0.125","0.125"
"607","","","","0.234375","0.234375","0.234375"
"608","","","","0.125","0.125","0.125"
"609","","","","0.09375","0.09375","0.09375"
"612","0.15625","0.15625","0.15625","0.2890625","0.046875","0.765625"
"613","","","","0.15625","0.125","0.1875"
"615","","","","0.234375","0.234375","0.234375"
"616","","","","0.21875","0.21875","0.21875"
